hostname,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,time
scn-GE72-2QD,1.84,2.32,2.2,2.21,1.87,1.52,1.69,1.53,04/27/2017 19:23:37
scn-GE72-2QD,1.85,2.32,2.2,2.21,1.87,1.53,1.69,1.53,04/27/2017 19:23:42
scn-GE72-2QD,1.84,2.32,2.2,2.21,1.87,1.53,1.69,1.52,04/27/2017 19:23:47
scn-GE72-2QD,1.84,2.32,2.19,2.21,1.86,1.53,1.69,1.52,04/27/2017 19:23:52
scn-GE72-2QD,1.84,2.32,2.19,2.21,1.86,1.53,1.69,1.52,04/27/2017 19:23:57
scn-GE72-2QD,1.85,2.32,2.19,2.21,1.86,1.53,1.69,1.52,04/27/2017 19:24:02
scn-GE72-2QD,1.85,2.32,2.19,2.21,1.86,1.52,1.69,1.52,04/27/2017 19:24:07
scn-GE72-2QD,1.85,2.31,2.19,2.2,1.86,1.52,1.69,1.52,04/27/2017 19:24:12
scn-GE72-2QD,1.85,2.31,2.19,2.2,1.86,1.53,1.69,1.52,04/27/2017 19:24:17
scn-GE72-2QD,1.84,2.31,2.19,2.2,1.86,1.52,1.69,1.52,04/27/2017 19:24:22
scn-GE72-2QD,1.84,2.31,2.19,2.2,1.85,1.52,1.69,1.52,04/27/2017 19:24:27
scn-GE72-2QD,1.84,2.31,2.19,2.2,1.85,1.52,1.68,1.52,04/27/2017 19:24:32
scn-GE72-2QD,1.84,2.31,2.19,2.2,1.85,1.53,1.68,1.52,04/27/2017 19:24:37
scn-GE72-2QD,1.84,2.31,2.19,2.2,1.85,1.52,1.68,1.52,04/27/2017 19:24:42
scn-GE72-2QD,1.84,2.31,2.19,2.2,1.85,1.52,1.68,1.52,04/27/2017 19:24:47
scn-GE72-2QD,1.84,2.31,2.19,2.2,1.85,1.52,1.68,1.52,04/27/2017 19:24:52
scn-GE72-2QD,1.84,2.31,2.19,2.19,1.85,1.52,1.68,1.52,04/27/2017 19:24:57
scn-GE72-2QD,1.84,2.3,2.19,2.19,1.85,1.52,1.68,1.52,04/27/2017 19:25:02
scn-GE72-2QD,1.84,2.3,2.19,2.19,1.84,1.52,1.69,1.52,04/27/2017 19:25:07
scn-GE72-2QD,1.84,2.3,2.19,2.19,1.84,1.52,1.69,1.52,04/27/2017 19:25:12
